# Based on the US06 drive cycle,
# time [s],current [A]
0,0.00321475
1,0.00321475
2,0.00321475
3,0.00321475
4,0.00321475
5,0.00321475
6,0.003417
7,0.005881
8,0.007815
9,0.0126505
10,0.1451225
11,0.661675
12,0.9606
13,1.028025
14,-0.0591925
15,0.79885
16,1.0335
17,0.706475
18,0.637225
19,0.673275
20,0.5786
21,0.8759
22,0.675825
23,0.26425
24,-0.1124975
25,-0.111275
26,-0.457975
27,-0.1728
28,-0.1040775
29,0.0986975
30,0.35235
31,-0.01682075
32,0.100205
33,-0.419125
34,-0.75235
35,-0.74145
36,-0.703475
37,-0.525725
38,-0.44715
39,-0.262875
40,-0.082885
41,-6.8095E-05
42,0.00321475
43,0.00321475
44,0.00321475
45,0.00321475
46,0.00321475
47,0.00321475
48,0.00321475
49,0.0065615
50,0.354375
51,0.5851
52,0.480075
53,0.701275
54,1.05955
55,1.068575
56,0.71435
57,1.06895
58,1.24155
59,1.21655
60,0.9697
61,0.63025
62,0.891275
63,0.8462
64,0.921725
65,0.7794
66,0.712175
67,0.5459
68,0.046815
69,0.2287525
70,0.00133505
71,-0.0930175
72,-0.0930625
73,0.0843525
74,0.26065
75,0.0843525
76,-0.0930475
77,-0.2414125
78,0.033685
79,0.1174475
80,0.1169975
81,0.20118
82,0.2017925
83,0.3733
84,0.55185
85,0.830975
86,1.0427
87,1.131275
88,1.077075
89,1.0642
90,1.2039
91,1.3007
92,1.12585
93,1.15895
94,0.846025
95,0.398375
96,0.342575
97,0.055335
98,-0.6252
99,-0.462125
100,-0.418175
101,-0.268425
102,-0.26625
103,-0.367525
104,-0.428925
105,-0.3877
106,-0.411825
107,-0.3411
108,-0.39415
109,-0.355475
110,-0.374925
111,-0.3105
112,-0.355325
113,-0.494725
114,-0.612375
115,-0.44275
116,-0.1675
117,-0.1635175
118,-0.1994725
119,-0.9169
120,-0.812025
121,-0.536775
122,-0.3993
123,-0.326875
124,-0.2020925
125,-0.07352
126,-0.00978575
127,-0.00302525
128,-6.8095E-05
129,0.00321475
130,0.00321475
131,0.00321475
132,0.00321475
133,0.00321475
134,0.00321475
135,0.00321475
136,0.0334175
137,0.3291
138,0.73765
139,1.083625
140,1.430125
141,1.3638
142,1.455925
143,1.503775
144,0.94665
145,0.691375
146,0.5986
147,0.737
148,0.4731
149,0.649975
150,0.453725
151,0.332175
152,0.335625
153,0.51425
154,0.1696975
155,0.1696975
156,0.5239
157,0.9442
158,0.461475
159,0.751275
160,0.337725
161,0.77515
162,0.35085
163,0.353525
164,0.3562
165,-0.12519
166,-0.323775
167,0.1011325
168,0.0529625
169,-0.0280025
170,0.28385
171,-0.1567675
172,0.37145
173,0.002831
174,0.13966
175,0.047165
176,0.27545
177,0.276975
178,0.0935475
179,0.046815
180,0.1371
181,0.1365925
182,-0.217285
183,-0.0624775
184,0.3497
185,-0.60255
186,1.25245
187,0.625675
188,0.7789
189,0.657925
190,0.2417725
191,0.818825
192,0.446775
193,0.7495
194,0.413525
195,0.468025
196,0.52445
197,0.223695
198,0.32595
199,-0.019744
200,0.374425
201,0.531475
202,0.02233025
203,0.276325
204,0.328525
205,0.79815
206,0.1303425
207,0.338025
208,0.339775
209,0.341525
210,0.44915
211,0.45335
212,0.61895
213,0.24875
214,0.46505
215,-0.67265
216,-0.016903
217,0.387575
218,0.338025
219,0.026115
220,0.545725
221,0.1838475
222,0.0786575
223,0.390425
224,-0.12438
225,0.542125
226,0.18195
227,0.2857
228,0.129795
229,0.33715
230,-0.0887375
231,0.281
232,0.4899
233,0.2857
234,0.391375
235,0.49995
236,0.3991
237,-0.23266
238,0.3389
239,-0.2315625
240,0.538575
241,-0.0534075
242,0.538575
243,0.1281575
244,-0.0181475
245,0.27865
246,0.176345
247,0.3819
248,0.281
249,0.1782
250,-0.1247175
251,0.223695
252,0.42855
253,0.17512
254,-0.05471
255,0.323425
256,0.1720775
257,0.2223225
258,0.27325
259,0.0704625
260,0.4245
261,0.377225
262,-0.0195485
263,0.2223225
264,0.27325
265,-0.02032425
266,0.67795
267,0.225765
268,-0.0195485
269,0.477775
270,0.02122675
271,0.0704625
272,0.11967
273,0.1690775
274,0.370725
275,0.2209575
276,0.2209575
277,0.170275
278,0.4235
279,0.12123
280,0.22164
281,0.323425
282,0.376275
283,0.1738975
284,0.791775
285,0.545725
286,0.49995
287,0.3991
288,0.670125
289,0.355825
290,0.738725
291,0.3659
292,0.42285
293,0.7038
294,0.26635
295,0.5463
296,0.43925
297,0.442375
298,1.60045
299,0.528975
300,1.9784
301,-0.734475
302,0.06518
303,0.2983
304,0.180515
305,0.591675
306,0.4789
307,0.2440425
308,-0.1570575
309,0.0609525
310,0.1169225
311,0.289
312,0.1730175
313,0.3453
314,0.288175
315,0.404325
316,0.816575
317,0.59295
318,0.898825
319,1.03775
320,0.874375
321,1.329175
322,1.0439
323,0.934675
324,-0.23674
325,-0.71305
326,0.084485
327,0.8251
328,1.09065
329,0.60145
330,1.0569
331,0.620975
332,0.62625
333,0.36985
334,0.631575
335,0.373875
336,-0.101545
337,0.365825
338,0.1067175
339,0.1040525
340,-0.237105
341,-0.237645
342,-0.703125
343,-0.48535
344,-0.519375
345,-1.051775
346,-0.27275
347,0.414825
348,-0.0483975
349,0.141675
350,0.40985
351,0.19621
352,0.7935
353,0.42185
354,0.758125
355,0.26635
356,0.49015
357,-0.00597225
358,0.20989
359,0.20919
360,-0.1598575
361,-0.0851825
362,0.0893975
363,0.0341775
364,0.407875
365,0.46505
366,0.035445
367,0.41085
368,0.632075
369,0.53095
370,0.481325
371,0.3743
372,0.487925
373,0.492375
374,0.1026075
375,0.719575
376,0.275075
377,0.275075
378,0.616675
379,0.5093
380,0.398375
381,0.458225
382,-0.03958
383,0.455025
384,0.1122175
385,-0.0409725
386,0.391525
387,0.393475
388,-0.002141575
389,0.1065025
390,0.615375
391,0.1650925
392,0.163795
393,0.503625
394,0.450775
395,0.281575
396,0.281575
397,0.7429
398,0.1723475
399,0.344375
400,0.1716775
401,0.40135
402,0.46145
403,0.34805
404,0.001335725
405,0.5185
406,0.58165
407,0.41135
408,0.70885
409,0.1241975
410,0.29915
411,0.1812075
412,0.238595
413,0.237825
414,0.70885
415,0.4205
416,0.541975
417,-0.2381625
418,-0.03666
419,-0.0381425
420,0.00015654
421,0.34075
422,0.515025
423,-0.0792625
424,0.7429
425,-0.1187625
426,0.33895
427,-0.276175
428,0.1037125
429,-0.0442575
430,0.3213
431,0.2105925
432,-0.00728225
433,0.0411175
434,0.3687
435,0.3153
436,0.2609
437,0.04067
438,0.148195
439,-0.085315
440,0.413825
441,0.0363
442,0.35855
443,-0.01174925
444,0.355825
445,-0.0494825
446,-1.0198
447,0.22164
448,-0.1250075
449,0.0661375
450,0.364325
451,0.0661375
452,0.364325
453,0.2162325
454,0.4175
455,0.2189225
456,0.2189225
457,0.2189225
458,0.4215
459,0.01906325
460,0.4215
461,0.425525
462,0.02049925
463,0.425525
464,0.02049925
465,0.425525
466,0.2243825
467,0.429575
468,0.02196075
469,0.02049925
470,-0.2288
471,-0.39585
472,-0.0919675
473,-0.514175
474,-0.21918
475,-0.370375
476,-0.656025
477,-0.5445
478,-0.0091335
479,-0.22654
480,-0.609325
481,-0.74235
482,-0.878675
483,-0.461425
484,-0.2458525
485,-0.612075
486,-0.95735
487,-0.486025
488,-0.012114
489,-0.266025
490,-0.250875
491,-0.1664075
492,-0.0816725
493,-0.006759
494,0.00321475
495,0.00321475
496,0.00321475
497,0.00321475
498,0.00321475
499,0.00321475
500,0.00321475
501,0.003417
502,0.086115
503,0.353125
504,0.602925
505,0.80925
506,0.85335
507,0.61805
508,0.1780075
509,-0.1717425
510,-0.24865
511,-0.281025
512,-0.557725
513,-0.440925
514,-0.210145
515,0.051885
516,0.293225
517,0.492275
518,0.684275
519,0.819675
520,0.662725
521,0.38035
522,-0.001471875
523,-0.349625
524,-0.481025
525,-0.452
526,-0.4069
527,-0.2375375
528,-0.0517775
529,-0.06995
530,-0.0066315
531,0.01492325
532,0.17921
533,0.404575
534,0.612625
535,0.809075
536,0.86585
537,0.4533
538,0.1320425
539,-0.094615
540,-0.3495
541,-0.49145
542,-0.4701
543,-0.38705
544,-0.1604875
545,-0.03838
546,-0.00083735
547,0.276975
548,0.47845
549,0.58125
550,0.75935
551,0.841175
552,0.9328
553,0.021529
554,-0.550425
555,-0.587375
556,-0.508475
557,-0.350875
558,-0.22806
559,-0.094395
560,-0.0141405
561,0.00321475
562,0.00321475
563,0.00321475
564,0.00321475
565,0.00321475
566,0.00321475
567,0.00321475
568,0.00364025
569,0.1757725
570,0.51085
571,0.877825
572,0.85155
573,0.988975
574,1.793175
575,0.8554
576,0.985425
577,1.743725
578,2.025
579,0.85375
580,-0.00605675
581,-0.0638875
582,-0.092225
583,-0.47555
584,-0.738425
585,-0.7375
586,-0.682225
587,-0.81775
588,-0.8804
589,-0.5833
590,-0.5521
591,-0.501175
592,-0.344225
593,-0.085915
594,-0.0089945
595,0.00321475
596,0.00321475
597,0.00321475
598,0.00321475
599,0.00321475
600,0.00321475
