Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Temperature
Reference temperature [K],298.15,25C,
Negative current collector surface heat transfer coefficient [W.m-2.K-1],0,,
Positive current collector surface heat transfer coefficient [W.m-2.K-1],0,,
Negative tab heat transfer coefficient [W.m-2.K-1],25,,
Positive tab heat transfer coefficient [W.m-2.K-1],25,,
Edge heat transfer coefficient [W.m-2.K-1],0.3,,
Total heat transfer coefficient [W.m-2.K-1],25,,
Ambient temperature [K],298.15,,

,,,
# Electrical
Number of electrodes connected in parallel to make a cell,1,,
Number of cells connected in series to make a battery,1,,
Lower voltage cut-off [V],2.7,,
Upper voltage cut-off [V],4.5,,
,,,
# Initial conditions
Initial SoC,0.8,,
Initial temperature [K],298.15,,
